Código de Ruta,Descripción de la ruta,Código recorrido ,Descripción del recorrido,Sentido,Dia,Mes,Año,Cantidad de Pasajeros Regulares,Cantidad de Adultos Mayores,Ingresos
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,30,6,2026,55,0,44000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,29,6,2026,72,0,57600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,26,6,2026,81,0,64800
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,25,6,2026,390,0,312000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,24,6,2026,440,0,352000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,23,6,2026,324,0,259200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,22,6,2026,198,0,158400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,19,6,2026,348,0,278400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,18,6,2026,378,0,302400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,17,6,2026,383,0,306400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,16,6,2026,402,0,321600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,15,6,2026,292,0,233600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,12,6,2026,359,0,287200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,11,6,2026,266,0,212800
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,10,6,2026,327,0,261600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,9,6,2026,398,0,318400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,8,6,2026,349,0,279200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,5,6,2026,377,0,301600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,4,6,2026,348,0,278400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,3,6,2026,390,0,312000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,2,6,2026,414,0,331200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Destino – Origen,1,6,2026,411,0,328800
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,30,6,2026,47,14,37600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,29,6,2026,34,0,27200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,26,6,2026,49,13,39200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,25,6,2026,390,11,312000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,24,6,2026,362,17,289600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,23,6,2026,445,17,356000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,22,6,2026,445,17,356000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,19,6,2026,390,17,312000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,18,6,2026,444,15,355200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,17,6,2026,409,3,327200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,16,6,2026,430,20,344000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,15,6,2026,369,17,295200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,12,6,2026,375,15,300000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,11,6,2026,258,4,206400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,10,6,2026,467,17,373600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,9,6,2026,393,17,314400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,8,6,2026,394,9,315200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,5,6,2026,390,22,312000
